"old_code","new_code_0","new_code_1","date_change_1","change_type_1","new_code_2","date_change_2","change_type_2","new_code_3","date_change_3","change_type_3","final_code","experiences_split","direct_path_complicated","adjacent_to_complicated","part_of_complicated_path"
"12T","12T","14C",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"14C",0,"no",0,0
"12V","12V","14A",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"14A",0,"no",0,0
"12W","12W","14E",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"14E",0,"no",0,0
"12X","12X","14E",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"14E",0,"no",0,0
"12Y","12Y","14D",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"14D",0,"no",0,0
"13A","13A","14D",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"14D",0,"no",0,0
"13C","13C","14A",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"14A",0,"no",0,0
"13G","13G","14H",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"14H",0,"no",0,0
"13H","13H","14F",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"14F",0,"no",0,0
"13J","13J","14F",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"14F",0,"no",0,0
"13K","13K","14G",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"14G",0,"no",0,0
"13L","13L","14G",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"14G",0,"no",0,0
"13M","13M","14H",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"14H",0,"no",0,0
"13P","13P","15E",2018-04-01,"merger",NA,NA,NA,NA,NA,NA,"15E",0,"no",0,0
"320","320","327",2009-04-01,"name_change",NA,NA,NA,NA,NA,NA,"327",0,"no",0,0
"5A1","5A1","5QC",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QC",0,"no",0,0
"5A2","5A2","5PQ",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PQ",0,"no",0,0
"5A6","5A6","5M6",2002-04-01,"merger",NA,NA,NA,NA,NA,NA,"5M6",0,"no",1,1
"5AA","5AA","5NT",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NT",0,"no",0,0
"5AC","5AC","5PD",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PD",0,"no",1,1
"5AF","5AF","5PN",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PN",0,"no",0,0
"5AG","5AG","5PN",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PN",0,"no",0,0
"5AH","5AH","5PW",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PW",0,"no",0,0
"5AJ","5AJ","5PV",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5PV",0,"no",0,0
"5AK","5AK","5P1",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5P1",0,"no",0,0
"5AL","5AL","5N7",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N7",0,"no",0,0
"5AM","5AM","5N8",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N8",0,"no",0,0
"5AN","5AN","TAN",2007-09-01,"name_change",NA,NA,NA,NA,NA,NA,"TAN",0,"no",0,0
"5AP","5AP","5N8",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N8",0,"no",0,0
"5AV","5AV","5M7",2002-04-01,"merger",NA,NA,NA,NA,NA,NA,"5M7",0,"no",1,1
"5AW","5AW","5NY",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NY",0,"no",0,0
"5AX","5AX","TAK",2003-10-01,"name_change",NA,NA,NA,NA,NA,NA,"TAK",0,"no",0,0
"5C6","5C6","5NC",2003-04-01,"merger",NA,NA,NA,NA,NA,NA,"5NC",0,"no",1,1
"5C7","5C7","5NC",2003-04-01,"split",NA,NA,NA,NA,NA,NA,"5NC",1,"no",0,1
"5C7","5C7","5NA",2003-04-01,"split",NA,NA,NA,NA,NA,NA,"5NA",1,"no",0,1
"5C8","5C8","5NA",2003-04-01,"merger",NA,NA,NA,NA,NA,NA,"5NA",0,"no",1,1
"5CD","5CD","5QM",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QM",0,"no",0,0
"5CE","5CE","5QN",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5QN",0,"no",0,0
"5CF","5CF","5NY",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NY",0,"no",0,0
"5CG","5CG","5NY",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NY",0,"no",0,0
"5CH","5CH","5NY",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NY",0,"no",0,0
"5CK","5CK","5N5",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5N5",0,"no",0,0
"5CL","5CL","5NT",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NT",0,"no",0,0
"5CM","5CM","5P9",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5P9",0,"no",0,0
"5CP","5CP","5P4",2006-10-01,"merger","5QV",2010-04-01,"merger",NA,NA,NA,"5QV",0,"no",0,0
"5CR","5CR","5NT",2006-10-01,"merger",NA,NA,NA,NA,NA,NA,"5NT",0,"no",0,0
