"old_code","final_code","experiences_split"
"5M1","RWL",1
"5MX","RWL",1
"RWM","7A4",0
"RWN","R1L",0
"RX5","RYF",0
"RXJ","RXY",0
"RYL","7A5",0
"RYM","7A3",0
"RYN","7A2",0
"RYP","7A1",0
"TAE","RXV",0
"TAG","5PX",0
"TAM","5QW",0
"X01","T145D",0
"X03","8HN02",0
"X09","X26",0
"Y41","Y51",0
"Y42","Y51",0
"Y43","Y51",0
"Y44","Y52",0
"Y45","Y53",0
"YAL","YDD55",0
