"old_code","final_code","experiences_split","problematic"
"5LM","5QA",0,0
"5LN","5QA",0,0
"5LP","5QA",0,0
"5LR","5P7",0,0
"5LT","5P7",0,0
"5LV","5PD",NA,1
"5LW","5PD",NA,1
"5LX","5QC",0,0
"5LY","5QC",0,0
"5M5","5NJ",0,0
"5M9","5PM",0,0
"5MA","5P6",0,0
"5MC","5P6",0,0
"5ME","5PJ",0,0
"5MF","5PJ",0,0
"5MG","5PF",0,0
"5MH","5PF",0,0
"5MJ","5PF",0,0
"5ML","5PK",0,0
"5MM","5PK",0,0
"5MN","5PK",0,0
"5MP","5PM",0,0
"5MQ","5PM",0,0
"5MR","5PL",0,0
"5MT","5PL",0,0
"5MW","5PG",0,0
"5MY","5PG",0,0
"5P3","5QV",0,0
"5P4","5QV",0,0
"5QH","R1J",0,0
"625","610",1,0
"626","610",1,0
"611","610",1,0
"6A1","7A6",0,0
"6A2","7A1",0,0
"6A3","7A2",0,0
"6A4","7A2",0,0
"6A5","7A3",0,0
"6A6","7A3",0,0
"6A7","7A1",0,0
"6A8","7A4",0,0
"6A9","7A5",0,0
"6B1","7A1",0,0
"6B2","7A6",0,0
"6B3","7A3",0,0
"6B4","7A1",0,0
"6B5","7A1",0,0
"6B6","7A4",0,0
"6B7","7A2",0,0
"6B8","7A5",0,0
"6B9","7A6",0,0
"6C1","7A1",0,0
"6C2","7A6",0,0
"6C3","7A6",0,0
"6C4","7A7",0,0
"DL5","8JN89",0,0
"N97","N95",0,0
"N98","N95",0,0
"Q01","Q35",0,0
"Q02","Q35",0,0
"Q03","Q35",0,0
"Q04","Q36",0,0
"Q05","Q36",0,0
"Q06","Q36",0,0
"Q07","Q36",0,0
"Q08","Q36",0,0
"Q09","Q30",0,0
"Q10","Q30",0,0
"Q11","Q32",0,0
"Q12","Q32",0,0
"Q13","Q31",0,0
"Q14","Q31",0,0
"Q15","Q31",0,0
"Q16","Q38",0,0
"Q17","Q38",0,0
"Q18","Q37",0,0
"Q19","Q37",0,0
"Q20","Q39",0,0
"Q21","Q39",0,0
"Q22","Q39",0,0
"Q23","Q32",0,0
"Q24","Q33",0,0
"Q25","Q33",0,0
"Q26","Q34",0,0
"Q27","Q34",0,0
"Q28","Q34",0,0
"Q44","Q75",0,0
"Q45","Q74",0,0
"Q48","Q75",0,0
"Q49","Q74",0,0
"Q50","Q72",0,0
"Q51","Q72",0,0
"Q52","Q72",0,0
"Q53","Q77",0,0
"Q54","Q77",0,0
"Q55","Q76",0,0
"Q56","Q79",0,0
"Q57","Q79",0,0
"Q58","Q78",0,0
"Q59","Q78",0,0
"Q60","Q76",0,0
"Q64","Q82",0,0
"Q65","Q80",0,0
"Q66","Q80",0,0
"Q67","Q81",0,0
"Q68","Q81",0,0
"Q69","Q82",0,0
"Q84","Q73",1,0
"Q83","Q73",1,0
"QMK","QHM",0,0
"QT8","QHM",0,0
"QVP","QHM",0,0
"R1E","RRE",0,0
"R1G","RA9",0,0
"RA0","5K9",0,0
"RA5","RTE",NA,1
"RA5","RTQ",NA,1
"RAF","RHQ",0,0
"RAG","RP5",NA,1
"RAQ","RWH",0,0
"RB4","RYC",0,0
"RB6","RX7",0,0
"RB7","RYA",0,0
"RB8","RX8",NA,1
